Schema,Table,Column,Notes,Neotoma,Required,Notes,Rowwise,Type,FormatOrRange,Vocab,Constant,Taxonname,Taxonid,UnitColumn,Uncertaintycolumn,Uncertaintyunitcolumn,UncertaintyBasis
sisal,Original chronology,interp_age_uncert_pos,number,ndb.samples.ageolder,,Assumes that age uncertainty is in calibrated radiocarbon years.,,,,,,,,,,,
sisal,Original chronology,interp_age_uncert_neg,number,ndb.samples.ageyounger,,Assumes that age uncertainty is in calibrated radiocarbon years.,,,,,,,,,,,
sisal,Original chronology,age_model_type,dropdown list option,ndb.chronologies.agemodel,"[""linear"",
""linear between dates"",
""polynomial fit"",
""polynomial fit omitting outliers"",
""Bayesian"",
""Bayesian Bacon"",
""Bayesian Bchron"",
""StalAge"",
""StalAge and other"",
""Clam"",
""COPRA"",
""OxCal"",
""mixed (add note to notes sheet)"",
""other (add note to notes sheet)"",
""unknown""]",,,,,,,,,,,,
sisal,Original chronology,ann_lam_check,dropdown list option,,"[""14C peak"",
""14C slope"",
""U/Th cycle"",
""trace element cycle"",
""assumed"",
""not applicable"",
""other (add note to notes sheet)"",
""unknown""]",,,,,,,,,,,,
sisal,Original chronology,dep_rate_check,dropdown list option,,"[""yes"",
""no"",
""assumed"",
""not applicable"",
""other (add note to notes sheet)"",
""unknown""]",,,,,,,,,,,,
sisal,d13C,d13C_ measurement,number,ndb.data.values,,,TRUE,float,> 0,,,d13C,,,d13C_precision,,"""Precision"""
sisal,d18O,d18O_ measurement,number,ndb.data.values,,,TRUE,float,> 0,,,d18O,,,d18O_precision,,"""Precision"""
sisal,Sr_Ca,Sr_Ca_measurement,number,ndb.data.values,,,TRUE,float,> 0,,,Sr_Ca,,,Sr_Ca_precision,,"""Precision"""
sisal,Mg_Ca,Mg_Ca_measurement,number,ndb.data.values,,,TRUE,float,> 0,,,Mg_Ca,,,Mg_Ca_precision,,"""Precision"""
sisal,Ba_Ca,Ba_Ca_measurement,number,ndb.data.values,,,TRUE,float,> 0,,,Ba_Ca,,,Ba_Ca_precision,,"""Precision"""
sisal,U_Ca,U_Ca_measurement,number,ndb.data.values,,,TRUE,float,> 0,,,U_Ca,,,U_Ca_precision,,"""Precision"""
sisal,P_Ca,P_Ca_measurement,number,ndb.data.values,,,TRUE,float,> 0,,,P_Ca,,,P_Ca_precision,,"""Precision"""
sisal,Sr_isotopes,Sr_isotopes_measurement,number,ndb.data.values,,,TRUE,float,> 0,,,Sr_isotopes,,,Sr_isotopes_precision,,
sisal,Reference,citation,alphanumeric,ndb.publications.citation,,,,string,,,,,,,,,
sisal,Reference,publication_doi,alphanumeric,ndb.publications.doi,,,,string,Valid DOI regex,,,,,,,,
sisal,Entity link reference,entity_id,database level,ndb.speleothems.speleothemid,,,,,,,,,,,,,
sisal,Entity link reference,ref_id,database level; links multiple references to single entity,ndb.speleothems.speleothemid,,,,,,,,,,,,,
sisal,Composite link entity,composite_entity_id,database level,ndb.aggregatedatasets,,,,,,,,,,,,,
sisal,Composite link entity,single_entity_id,database level,ndb.speleothems.speleothemid,,,,,,,,,,,,,
sisal,Notes,site_id,database level,ndb.siteid,,,,,,,,,,,,,
sisal,Notes,notes,All notes in SISAL are at site level only.,ndb.sites.sitenotes,,,,,,,,,,,,,
sisal,SISAL chronology,sample_id,database level,ndb.sampleages.sampleid,,,,,,,,,,,,,
sisal,SISAL chronology,lin_interp_age,number,ndb.sampleages.age,,,,,,,,,,,,,
sisal,SISAL chronology,lin_interp_age_uncert_pos,number,ndb.sampleages.ageolder,,,,,,,,,,,,,
sisal,SISAL chronology,lin_interp_age_uncert_neg,number,ndb.sampleages.ageyounger,,,,,,,,,,,,,
sisal,SISAL chronology,lin_reg_age,number,ndb.sampleages.age,,,,,,,,,,,,,
sisal,SISAL chronology,lin_reg_age_uncert_pos,number,ndb.sampleages.ageolder,,,,,,,,,,,,,
sisal,SISAL chronology,lin_reg_age_uncert_neg,number,ndb.sampleages.ageyounger,,,,,,,,,,,,,
sisal,SISAL chronology,Bchron_age,number,ndb.sampleages.age,,,,,,,,,,,,,
sisal,SISAL chronology,Bchron_age_uncert_pos,number,ndb.sampleages.ageolder,,,,,,,,,,,,,
sisal,SISAL chronology,Bchron_age_uncert_neg,number,ndb.sampleages.ageyounger,,,,,,,,,,,,,
sisal,SISAL chronology,Bacon_age,number,ndb.sampleages.age,,,,,,,,,,,,,
sisal,SISAL chronology,Bacon_age_uncert_pos,number,ndb.sampleages.ageolder,,,,,,,,,,,,,
sisal,SISAL chronology,Bacon_age_uncert_neg,number,ndb.sampleages.ageyounger,,,,,,,,,,,,,
sisal,SISAL chronology,OxCal_age,number,ndb.sampleages.age,,,,,,,,,,,,,
sisal,SISAL chronology,OxCal_age_uncert_pos,number,ndb.sampleages.ageolder,,,,,,,,,,,,,
sisal,SISAL chronology,OxCal_age_uncert_neg,number,ndb.sampleages.ageyounger,,,,,,,,,,,,,
sisal,SISAL chronology,copRa_age,number,ndb.sampleages.age,,,,,,,,,,,,,
sisal,SISAL chronology,copRa_age_uncert_pos,number,ndb.sampleages.ageolder,,,,,,,,,,,,,
sisal,SISAL chronology,copRa_age_uncert_neg,number,ndb.sampleages.ageyounger,,,,,,,,,,,,,
sisal,SISAL chronology,Stalage_age,number,ndb.sampleages.age,,,,,,,,,,,,,
sisal,SISAL chronology,Stalage_age_uncert_pos,number,ndb.sampleages.ageolder,,,,,,,,,,,,,
sisal,SISAL chronology,Stalage_age_uncert_neg,number,ndb.sampleages.ageyounger,,,,,,,,,,,,,
